Location,Density,Sal,Replicate,Hatch_date,Julian_hatch,Start_Date,Julian_start,Date_MM,Julian_MM,MM_tail,MM_total,Mass_MM,Final_length,Final_mass,Final_date,Julian_final,Time_MM,Dead,Dead_date,,,,,,,
Coastal,4,4,3,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,,where are these?,,,,,,
Coastal,4,4,3,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,,where are these?,,,,,,
Coastal,4,4,4,7/5/17,42921,7/10/17,42926,9/4/17,42982,30.09,49.74,0.819,20.16,0.581,9/7/17,42985,64,1,,,,,,,,
Coastal,4,4,4,7/5/17,42921,7/10/17,42926,8/20/17,42967,24.17,37.59,0.352,16.3,0.242,8/22/17,42969,48,1,,,,,,,,
Coastal,4,4,4,7/5/17,42921,7/10/17,42926,9/10/17,42988,29.29,46.92,0.708,17.7,0.466,8/13/17,42960,39,1,,,,,9/4/17,34.54,52.22,0.84
Coastal,4,4,4,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,,dead,,,,,,
Coastal,4,4,5,7/5/17,42921,7/10/17,42926,8/21/17,42968,22.52,34.96,0.331,14.46,0.212,8/24/17,42971,50,1,,,,,,,,
Coastal,4,4,5,7/5/17,42921,7/10/17,42926,9/7/17,42985,30.1,46.29,0.621,17.76,0.387,9/10/17,42988,67,1,,,,,,,,
Coastal,4,4,5,7/5/17,42921,7/10/17,42926,9/10/17,42988,33.47,50.47,0.743,18.58,0.454,9/14/17,42992,71,1,,,,,,,,
Coastal,4,4,5,7/5/17,42921,7/10/17,42926,9/24/17,43002,35.35,52.99,1.059,18.46,0.56,9/28/17,43006,85,1,,,,,,,,
Coastal,4,4,6,7/5/17,42921,7/10/17,42926,9/1/17,42979,24.24,38.35,0.409,14.09,0.232,9/4/17,42982,61,1,,,,,,,,
Coastal,4,4,6,7/5/17,42921,7/10/17,42926,9/6/17,42984,31.61,47.14,0.668,16.7,0.43,9/9/17,42987,66,1,,,,,,,,
Coastal,4,4,6,7/5/17,42921,7/10/17,42926,9/10/17,42988,31.4,49.85,0.766,18.68,0.473,9/13/17,42991,70,1,,,,,,,,
Coastal,4,4,6,7/5/17,42921,7/10/17,42926,9/13/17,42991,29.97,46.21,0.596,17.13,0.367,9/17/17,42995,74,1,,,,,,,,
Inland,4,4,1,7/6/17,42922,7/10/17,42926,10/1/17,43009,22.06,39.16,0.627,16.63,0.388,10/5/17,43013,91,1,,,,,,,,
Inland,4,4,1,7/6/17,42922,7/10/17,42926,8/27/17,42974,23.49,38.99,0.486,16.55,0.323,8/30/17,42977,55,1,,,,,,,,
Inland,4,4,1,7/6/17,42922,7/10/17,42926,9/4/17,42982,31.63,49.71,0.733,18.85,0.441,9/8/17,42986,64,1,,,,,,,,
Inland,4,4,1,7/6/17,42922,7/10/17,42926,9/26/17,43004,23.85,42.1,0.812,,,,,,0,,dead after mm ,,,,,,
